External ID,ID,Display Name,Quantity,Cost,Value
__export__.product_product_27947_6e9de8fc,27947,"CHASSIS CROSSMEMBER DROP BRACKETS JIMNY, PART#IDM009",2,5340,8375.200151
__export__.product_product_27403_822cf0ad,27403,DECOROOF:IT6 PROFILE SHEETS:IT6 ASA BRICK RED/BOTTOM GREY - 2.0mm 6.0M,7,5400,6055
__export__.product_product_25008_d0ae9751,25008,DECOROOF:IT6 PROFILE SHEETS:IT6 ASA BROWN - GREY BOT - 2.0MM-6.0M,4,5400,4
__export__.product_product_25060_33e61c76,25060,DECOROOF:IT6 PROFILE SHEETS:IT6 BRICK RED BOTTOM WHITE-2mm:5.0M,1,5400,1
__export__.product_product_25088_e73c3b4e,25088,DECOROOF:IT6 PROFILE SHEETS:IT6 CLEAR GREEN - 2.00mm:6.0M,19,5400,0
__export__.product_product_25078_972cd897,25078,"Decoroof I.T.6 Profile Roofing Sheets, Thickness - 1.50mm, Length - 5.00 Meters Long, Colour - Clear",10,5400,5409
__export__.product_product_24983_f378bc5e,24983,IT6 ASA BLUE BOTTOM WHITE-1.5m:5.0M,2,5400,2
__export__.product_product_24990_51e1c6b3,24990,IT6 ASA BLUE BOTTOM WHITE-1.5m:6.0M,35,5400,35
__export__.product_product_25026_1f7136e3,25026,IT6 ASA GREEN BOTTOM WHITE-1.5mm:6.0M,5,5400,5
__export__.product_product_25051_e537d24b,25051,IT6 BRICK RED BOTTOM GREY-2mm:6.0M,8,5400,8
__export__.product_product_24726_463dbe02,24726,"Manifold Compressor TM, Part # 220992",13,5400,55942.87892
__export__.product_product_17150_87ae1c05,17150,205/60R16 CS889 92V TL (205/60R16 CS889 92V TL Maxxis Tyres),16,5431.03,16
__export__.product_product_27955_b005deed,27955,"FE PRO SHOCK ABSORBER ADJUSTING TOOL, PART#ISHOCKTOOL001",1,5480.75,4297.800077
__export__.product_product_24091_1ea0ad18,24091,Spine Board,20,5616,101088
__export__.product_product_24458_fefc426a,24458,"Ironman Front Foam Cell Shock Absorbers for Jeep Cherokee, Part # 24665FE",24,5626.73,67532.76
__export__.product_product_24452_10ff1077,24452,"Ironman Rear Foam Cell Shock Absorbers for Toyota Hilux Revo, Part # 24081FE",78,5668.8,442179.4002
__export__.product_product_24456_ad258064,24456,"Ironman RE Shock Absorber Foam Cell for Isuzu D-Max / Mitsubish L200, Part # 24636FE",11,5681.48,62483.9202
__export__.product_product_24451_333ef953,24451,"Ironman FR Shock Absorber Foam Cell Land Rover 110, Part # 24080FE",10,5716.85,22873.4
__export__.product_product_24459_0b419538,24459,"Ironman Front Foam Cell Shock Absorbers for Toyota Landcruiser Prado 70/73/78 Series, Part # 24696FE",20,5716.85,121606.6018
__export__.product_product_24240_7988446e,24240,"Ironman Steering Damper for Andover Defender 90 & 110 Series, Part # 3532",15,5716.85,80036.9
__export__.product_product_24465_d2b5de0d,24465,"Ironman Foam Cell Comfort Rear Shock Absorbers for Mitsubishi L200, Part # 24729FEC",8,5722.2,11450.4
__export__.product_product_24454_ce82e83e,24454,"Ironman RE Shock Absorber Foam Cell - Toyota Landcruiser 79 Series, Part # 24094FE",15,5722.2,90182.30142
__export__.product_product_27545_8ef11162,27545,"Ironman RE Shock Absorber Foam Cell - Toyota Prado 90/95, Part # 24661FE",5,5722.2,28564.1001
__export__.product_product_16972_e4213084,16972,"Ironman Rear Foam Cell Shock Absorber for Mitsubishi Pajero, Part #24646FE",6,5737.08,5680.300102
__export__.product_product_18552_b5826b0c,18552,Fender Trim (Set) for Toyota Revo 2016+ Part # PW00534032,8,5760.96,11527.92
__export__.product_product_24241_301a9e17,24241,"Ironman Steering Damp for Jeep Cherokee, Part # 3540",16,5792.31,17389.93
__export__.product_product_27693_22f87882,27693,NS70 MFL POWERLAST,12,5830.1724,69962.06897
__export__.product_product_24098_6b56086f,24098,"Sony Car Stereo, Model - CDX-G1200U",2,5862.069,2
__export__.product_product_24418_d1a85498,24418,"Ironman Recovery Point Front to suit Nissan NP300 Front, Part # IRP048",4,5863.05,4
__export__.product_product_24596_85e3046f,24596,First Aid Kit - General Purpose Kit - Large (Metal),32,5900,179000
__export__.product_product_24851_71f47706,24851,"Separator Oil, Part# 668548",53,6104.4061,349178.391
__export__.product_product_16674_819f9748,16674,"Ironman 4x4 Foldable Bush Toilet W/B, Part # IBUSHTOILET",5,6107.21,33060.0006
__export__.product_product_24236_a2d82608,24236,"Ironman Nitro Gas Front Shock Absorbers for Suzuki Grand Vitara, Part # 12721GR",4,6107.21,12216.42
__export__.product_product_24471_2441116d,24471,"Ironman FR Shock Absorber Foam Cell - Toyota Landcruiser 100 Series, Part # 24795FE",9,6171.2001,54053.10097
__export__.product_product_24453_9930e8fe,24453,"Ironman Front Shock Absorber Foam Cell for Toyota Landcruiser 79 Series, Part # 24091FE",17,6171.2001,104910.4019
__export__.product_product_18591_dc18543d,18591,"Fog Lamps for Bull Bars, Part # TY001492 (Pair)",19,6283.0274,119377.5208
__export__.product_product_25017_e3a8eca1,25017,"Decoroof I.T.6 Profile Roofing Sheets, Thickness - 2.00mm, Length - 6.00 Meters Long, Colour - ASA Green",2,6300,2
__export__.product_product_24578_40acdd7e,24578,"Smart Rear Glass Door for SX Model Canopy, Part # 400150",2,6437.72,2
__export__.product_product_24797_99431076,24797,"Fuse Holder, Part# 422499",4,6472.9518,25891.8073
__export__.product_product_25090_d96b6fb4,25090,"Decoroof I.T.6 Profile Roofing Sheets, Thickness - 1.5mm, Length - 6.00 Meters Long, Colour - Clearsol Orange",6,6480,32401
__export__.product_product_27558_2543be41,27558,1000W Inverter to Convert Power from 12V DC to 240V AC with 3 Pin Plug on Output Side,100,6500,0
__export__.product_product_27358_e5dd735d,27358,Fitting 90DEG O-RING 6x6 Part#512436,1,6550.56,0
__export__.product_product_24704_af3e7ed0,24704,Clutch-Compresor 12vdc pv8 119DIA Part#1070442,8,6721.96,13449.92
__export__.product_product_24268_b57eb253,24268,"Ironman Rear Coil Springs for Nissan NP300 D23, Part # NISS058B",13,6739.98,13
__export__.product_product_27684_708ad420,27684,N70 MFL POWERLAST,203,6759.4828,1372175
__export__.product_product_24262_992b0107,24262,"Ironman Constant Load Coil Springs (Pair) for Nissan Patrol GQY60 / GU Y61, Part # NISS009C",19,6847.93,129984.9401
__export__.product_product_24251_4cc8f3c6,24251,"Ironman Front Coil Springs - Constant Load for Ford Ranger T6, Part # FOR001C",5,6847.93,27392.72
__export__.product_product_24261_2ad69dae,24261,"Ironman Rear Comfort Coil Springs to suit to Mitsubishi Pajero Sport, Part # MITS042A",4,6854.33,13710.66
__export__.product_product_24157_cf35d277,24157,"Carryboy Door Visor (Set) for Chevrolet Trailblazer, Part # CE-701-TBZ",12,6874.1,12
__export__.product_product_24426_5337598a,24426,Ironman Snatch Strap 11000Kgs 9 Meters x 100mm PART#ISNATCH006,15,6960.81,95874.00173
